,Unnamed: 0,CITY,COUNTY,COUNTY_FIPS,END_USE,FACILITY_ID,FINAL_NAICS_CODE,MECS_NAICS,REPORTING_YEAR,STATE,Temp_degC,UNIT_NAME,UNIT_TYPE,Lat,Lon,LLType,geometry,FacilityName,Demand 300,Demand 550,Demand 850,Emissions 300,Emissions 550,Emissions 850,Count300,Count550,Count850,Temp 300,Temp 550,Temp 850,Industry,Company
1,2590,CORPUS CHRISTI,NUECES,48355,CHP and/or Cogeneration Process,1004880,325110,325110,2015,TX,220,Cogen-Turbine,"CCCT (CC (Turbine, combined cycle))",27.81,-97.593611,Facility,POINT (-10864071.08119682 3225040.186604103),EQUISTAR CORPUS CHRISTI PLANT,462.64558733,462.64558733,462.64558733,0.023291018,0.023291018,0.023291018,4,4,4,220.0,220.0,220.0,Petrochemicals, LyondellBasell Industries
3,12864,TYRONE,BLAIR,42013,Process Heating,1000523,322121,322121,2015,PA,800,GP-Natural Gas Space Heaters,OCS (Other combustion source),40.678953,-78.234728,Facility,POINT (-8709050.083310261 4965102.014322963),TEAM TEN LLC DBA AMER EAGLE PAPER MILLS,9609.91085294,9609.91085294,9609.91085294,0.483792804,0.483792804,0.483792804,11,11,11,220.0,220.0,220.0,"Paper Mills, except Newsprint",Team Ten LLC
4,12865,MOBILE,MOBILE,1097,Process Heating,1002187,322121,322121,2015,AL,800,Aggregated Unit 1,F (Furnace),30.736214,-88.0483,Facility,POINT (-9801491.92121339 3598538.685953008),KIMBERLY-CLARK TISSUE COMPANY,339.84637,339.84637,339.84637,0.0171089229999999,0.0171089229999999,0.0171089229999999,2,2,2,220.00000000000003,220.00000000000003,220.00000000000003,"Paper Mills, except Newsprint",KIMBERLY-CLARK CORP
5,22025,KANSAS CITY,CLAY COUNTY,29047,Process Heating,1003513,311221,311221,2015,MO,149,GP-NG dryers,OCS (Other combustion source),39.125992,-94.57328,Facility,POINT (-10527849.37224968 4739734.947546863),Ingredion Inc.,144.496161576,144.496161576,144.496161576,0.007274378,0.007274378,0.007274378,8,8,8,220.00000000000003,220.00000000000003,220.00000000000003,Wet Corn Milling,Ingredion Inc.
6,32923,CLINTON,CLINTON,19045,CHP and/or Cogeneration Process,1002927,325199,325199,2015,IA,260,GP-Small Units,OCS (Other combustion source),41.807364,-90.295307,Facility,POINT (-10051627.59626231 5132167.040845506),EQUISTAR CHEMICALS LP,671.60032908,671.60032908,671.60032908,0.03381045,0.03381045,0.03381045,6,6,6,220.0,220.0,220.0,Other Basic Organic Chemicals,LYONDELLBASELL
8,32928,TAFT,SAINT CHARLES,22089,CHP and/or Cogeneration Process,1007031,325199,325199,2015,LA,260,ES_BLR_WEST PACKAGE BOILER,"OB (Boiler, other)",29.987341,-90.445067,Facility,POINT (-10068298.80320351 3501922.750848427),St Charles Operations (Taft/Star) Union Carbide Corp,656.2719028200002,656.2719028200002,656.2719028200002,0.033038769,0.033038769,0.033038769,6,6,6,220.0,220.0,220.0,Other Basic Organic Chemicals,THE DOW CHEMICAL CO
9,32939,PASADENA,HARRIS,48201,CHP and/or Cogeneration Process,1006867,325199,325199,2015,TX,260,CP-1,OCS (Other combustion source),29.625819,-95.061592,Facility,POINT (-10582208.01543793 3455542.472932275),CLEAR LAKE PLANT,6513.5606121,6513.5606121,6513.5606121,0.327912901,0.327912901,0.327912901,7,7,7,220.0,220.0,220.0,Other Basic Organic Chemicals,Celanese Corporation
10,32941,Louisville,JEFFERSON COUNTY,21111,CHP and/or Cogeneration Process,1005537,325199,325199,2015,KY,260,GP-(IA) commercial service,OCS (Other combustion source),38.2222,-85.836304,Facility,POINT (-9555253.652856631 4610862.949580991),Carbide Industries LLC,126.04189099,126.04189099,126.04189099,0.006345341,0.006345341,0.006345341,2,2,2,220.0,220.0,220.0,Other Basic Organic Chemicals,CARBIDE INDUSTRIES LLC
12,32955,ORANGE,ORANGE,48361,CHP and/or Cogeneration Process,1003382,325199,325199,2015,TX,260,OLD DUPONT COGEN,OCS (Other combustion source),30.054796,-93.753863,Facility,POINT (-10436632.28906233 3510595.304750883),DUPONT SABINE RIVER WORKS,1244.2325021,1244.2325021,1244.2325021,0.062638534,0.062638534,0.062638534,2,2,2,220.0,220.0,220.0,Other Basic Organic Chemicals,E I DU PONT DE NEMOURS & CO
13,32956,AUGUSTA,RICHMOND,13245,CHP and/or Cogeneration Process,1006428,325199,325199,2015,GA,260,CP-1,OCS (Other combustion source),33.44136,-81.93123,Facility,POINT (-9120542.803666579 3954034.726352522),DSM CHEMICALS NORTH AMERICA INCORPORATED,1316.4266616,1316.4266616,1316.4266616,0.066273013,0.066273013,0.066273013,2,2,2,220.0,220.0,220.0,Other Basic Organic Chemicals,DSM HOLDING CO INC
